"ID";"Повна назва товару";"Ціна";"К-ть";"Розд. ціна";"Опт. ціна";"Націнка 15";"ID групи";"Штрих-код виробника";"Націнка 5";"Ціна 20";"Додатково"
"1676";"Бархатні ручки крем ""Живильний""/20";"14,30";"7";"16,50";"15,75";"16,45";"37";"8714100710081";"15,05";"17,20";""
"1677";"Бархатні ручки крем ""Захисний""/20";"14,30";"19";"16,50";"15,75";"16,45";"37";"8714100711583";"15,05";"17,20";""
"1678";"Бархатні ручки крем ""Зволожуючий""/20";"14,30";"16";"16,50";"15,75";"16,45";"37";"8714100711576";"15,05";"17,20";""
"2365";"Бархатні ручки крем ""Комплексний""/20";"14,30";"8";"16,50";"15,75";"16,45";"37";"8714100711569";"15,05";"17,20";""
"690";"Батарейки Duracell R3/12/120";"9,25";"96";"10,50";"10,20";"10,65";"28";"5000394115484";"9,75";"11,10";""
"692";"Батарейки Kodak R3/60";"1,85";"240";"2,50";"2,05";"2,15";"28";"887930411713";"1,95";"2,25";""
"5749";"Батарейки Kodak R6 New/60";"2,15";"160";"2,50";"2,40";"2,50";"28";"887930421187";"2,30";"2,60";""
"1395";"Березово-дьогтярний шампунь";"40,90";"6";"46,00";"45,00";"47,05";"6";"4810151012304";"42,95";"49,10";"юмікс"
"40";"Вино  бальзам";"37,80";"24";"41,60";"41,60";"43,50";"7";"4810153008183";"39,70";"45,40";""
"5715";"Вологі серветки Johnson`s (2*56 шт)/6";"46,00";"7";"56,00";"50,65";"52,95";"43";"3574661421926";"48,35";"55,25";""
"4074";"Вологі серветки Pampers Fresh Clean (52 шт)/12";"25,60";"28";"35,00";"28,20";"29,45";"43";"8001841077949";"26,90";"30,75";""
"5401";"Вологі серветки Pampers Sensitive (52 шт)/12";"25,60";"14";"35,00";"28,20";"29,45";"43";"8001841062624";"26,90";"30,75";""
"44";"Гранат бальзам";"37,80";"17";"41,60";"41,60";"43,50";"7";"4810153009357";"39,70";"45,40";""
"3";"Гранат шампунь";"40,50";"27";"44,60";"44,60";"46,60";"6";"4810153009333";"42,55";"48,65";"юмікс"
"1642";"Дихлофос Neo 190 мл/12/48";"29,80";"20";"33,00";"32,80";"34,30";"23";"4820185020046";"31,30";"35,80";""
"3713";"Зубна щітка Colgate 360 Gold (1шт) Soft/12/72";"25,50";"94";"35,00";"28,05";"29,35";"176";"8693495048019";"26,80";"30,60";""
"3882";"Зубна щітка Colgate 360 Whole Mouth Clean (1шт) Medium/12/72";"25,50";"31";"35,00";"28,05";"29,35";"176";"8714789183800";"26,80";"30,60";""
"2878";"Зубна щітка Colgate Extra Clean Medium (1 шт)/12";"10,50";"24";"15,00";"11,55";"12,10";"176";"8718951239371";"11,05";"12,60";""
"1421";"Зубна щітка Colgate Max Fresh (1шт) Medium/72";"21,00";"71";"35,00";"23,10";"24,15";"176";"058000004481";"22,05";"25,20";""
